,row_index,level,type,llama3_is_correct,llama_solution,llema_is_correct,llema_solution,level:type,qwen_is_correct,qwen_solution,mistral_is_correct,mistral_solution,all_correct,all_incorrect,at_least_3_correct,at_least_2_correct,at_least_1_correct,all_agree
1595,1595,Level 4,Counting & Probability,False,6840,False,307,Level 4: Counting & Probability,False,18\cdot 17\cdot 16,False,Error Parsing Response,False,True,False,False,False,False
1597,1597,Level 5,Counting & Probability,False,\frac{17}{18},False,\frac{11,Level 5: Counting & Probability,False,\frac{8}{9},False,Error Parsing Response,False,True,False,False,False,False
1598,1598,Level 5,Counting & Probability,False,\dfrac{1}{715},False,,Level 5: Counting & Probability,False,\frac{3}{221},False,Error Parsing Response,False,True,False,False,False,False
1599,1599,Level 5,Counting & Probability,False,24,False,24,Level 5: Counting & Probability,False,31,False,Error Parsing Response,False,True,False,False,False,False
1600,1600,Level 4,Counting & Probability,False,24,False,240,Level 4: Counting & Probability,False,40,False,120,False,True,False,False,False,False
1602,1602,Level 5,Counting & Probability,False,1,False,8,Level 5: Counting & Probability,False,30,False,Error Parsing Response,False,True,False,False,False,False
1603,1603,Level 5,Counting & Probability,False,\frac{1}{2},False,,Level 5: Counting & Probability,False,\frac{23}{24},False,Error Parsing Response,False,True,False,False,False,False
1604,1604,Level 3,Counting & Probability,False,3360,False,80,Level 3: Counting & Probability,False,210,False,Error Parsing Response,False,True,False,False,False,False
1605,1605,Level 5,Counting & Probability,False,\frac{5}{6},False,,Level 5: Counting & Probability,False,\frac{3}{8},False,\frac{1}{12},False,True,False,False,False,False
1608,1608,Level 2,Counting & Probability,False,1000,False,,Level 2: Counting & Probability,False,Error Parsing Response,False,1000,False,True,False,False,False,False
1610,1610,Level 4,Counting & Probability,False,54000,False,,Level 4: Counting & Probability,False,Error Parsing Response,False,14400,False,True,False,False,False,False
1611,1611,Level 5,Counting & Probability,False,720,False,720,Level 5: Counting & Probability,False,Error Parsing Response,False,5040,False,True,False,False,False,False
1612,1612,Level 5,Counting & Probability,False,6,False,12,Level 5: Counting & Probability,False,Error Parsing Response,False,120,False,True,False,False,False,False
1613,1613,Level 5,Counting & Probability,False,\frac{1}{8},False,\frac{1,Level 5: Counting & Probability,False,Error Parsing Response,False,Error Parsing Response,False,True,False,False,False,False
1614,1614,Level 2,Counting & Probability,False,30,False,4,Level 2: Counting & Probability,False,Error Parsing Response,False,1 + hw,False,True,False,False,False,False
1615,1615,Level 4,Counting & Probability,False,296,False,,Level 4: Counting & Probability,False,48,False,Error Parsing Response,False,True,False,False,False,False
1616,1616,Level 5,Counting & Probability,False,36,False,4,Level 5: Counting & Probability,False,24,False,Error Parsing Response,False,True,False,False,False,False
1620,1620,Level 3,Counting & Probability,False,12,False,18,Level 3: Counting & Probability,False,Error Parsing Response,False,Error Parsing Response,False,True,False,False,False,False
1621,1621,Level 2,Counting & Probability,False,6,False,15,Level 2: Counting & Probability,False,Error Parsing Response,False,7,False,True,False,False,False,False
1624,1624,Level 3,Counting & Probability,False,720,False,240,Level 3: Counting & Probability,False,Error Parsing Response,False,Error Parsing Response,False,True,False,False,False,False
1627,1627,Level 4,Counting & Probability,False,Error Parsing Response,False,,Level 4: Counting & Probability,False,Error Parsing Response,False,Error Parsing Response,False,True,False,False,False,False
1629,1629,Level 5,Counting & Probability,False,198000,False,,Level 5: Counting & Probability,False,Error Parsing Response,False,480,False,True,False,False,False,False
1630,1630,Level 5,Counting & Probability,False,0.892,False,3,Level 5: Counting & Probability,False,\frac{2450}{287},False,Error Parsing Response,False,True,False,False,False,False
1631,1631,Level 4,Counting & Probability,False,\frac{1}{5},False,,Level 4: Counting & Probability,False,Error Parsing Response,False,\frac{5}{13},False,True,False,False,False,False
1632,1632,Level 5,Counting & Probability,False,0,False,,Level 5: Counting & Probability,False,Error Parsing Response,False,Error Parsing Response,False,True,False,False,False,False
1633,1633,Level 3,Counting & Probability,False,7,False,,Level 3: Counting & Probability,False,79,False,Error Parsing Response,False,True,False,False,False,False
1634,1634,Level 4,Counting & Probability,False,30,False,,Level 4: Counting & Probability,False,Error Parsing Response,False,Error Parsing Response,False,True,False,False,False,False
1638,1638,Level 5,Counting & Probability,False,\frac{45}{243},False,\frac{4,Level 5: Counting & Probability,False,\frac{71}{729},False,Error Parsing Response,False,True,False,False,False,False
1640,1640,Level 3,Counting & Probability,False,Error Parsing Response,False,,Level 3: Counting & Probability,False,\frac{1}{221},False,"\dfrac{1}{1,\!672}",False,True,False,False,False,False
1641,1641,Level 4,Counting & Probability,False,504,False,210,Level 4: Counting & Probability,False,36,False,Error Parsing Response,False,True,False,False,False,False
1642,1642,Level 3,Counting & Probability,False,\dfrac{1}{4},False,,Level 3: Counting & Probability,False,\frac{1}{4},False,Error Parsing Response,False,True,False,False,False,False
1644,1644,Level 5,Counting & Probability,False,\dfrac{9}{20},False,\dfrac{1,Level 5: Counting & Probability,False,\frac{3}{20},False,Error Parsing Response,False,True,False,False,False,False
1646,1646,Level 5,Counting & Probability,False,12,False,,Level 5: Counting & Probability,False,9,False,,False,True,False,False,False,False
1647,1647,Level 2,Counting & Probability,False,5040,False,90,Level 2: Counting & Probability,False,Error Parsing Response,False,Error Parsing Response,False,True,False,False,False,False
1648,1648,Level 2,Counting & Probability,False,2,False,1435,Level 2: Counting & Probability,False,53,False,Error Parsing Response,False,True,False,False,False,False
1650,1650,Level 1,Counting & Probability,False,7,False,,Level 1: Counting & Probability,False,Error Parsing Response,False,16,False,True,False,False,False,False
1653,1653,Level 4,Counting & Probability,False,253,False,23,Level 4: Counting & Probability,False,Error Parsing Response,False,Error Parsing Response,False,True,False,False,False,False
1654,1654,Level 5,Counting & Probability,False,Error Parsing Response,False,,Level 5: Counting & Probability,False,Error Parsing Response,False,Error Parsing Response,False,True,False,False,False,False
1655,1655,Level 3,Counting & Probability,False,"196,000",False,128,Level 3: Counting & Probability,False,192,False,Error Parsing Response,False,True,False,False,False,False
1657,1657,Level 4,Counting & Probability,False,Error Parsing Response,False,199,Level 4: Counting & Probability,False,180,False,Error Parsing Response,False,True,False,False,False,False
1658,1658,Level 2,Counting & Probability,False,3,False,,Level 2: Counting & Probability,False,3,False,Error Parsing Response,False,True,False,False,False,False
1661,1661,Level 2,Geometry,False,\frac{4}{3},False,1.6,Level 2: Geometry,False,Error Parsing Response,False,Error: Response is not a dictionary,False,True,False,False,False,False
1663,1663,Level 5,Geometry,False,2,False,,Level 5: Geometry,False,Error Parsing Response,False,Error Parsing Response,False,True,False,False,False,False
1664,1664,Level 4,Geometry,False,0,False,,Level 4: Geometry,False,162,False,Error Parsing Response,False,True,False,False,False,False
1665,1665,Level 5,Geometry,False,2,False,4,Level 5: Geometry,False,Error Parsing Response,False,\frac{1}{2},False,True,False,False,False,False
1666,1666,Level 5,Geometry,False,\frac{20\sqrt{3}}{3},False,,Level 5: Geometry,False,40\text{ inches},False,Error Parsing Response,False,True,False,False,False,False
1667,1667,Level 5,Geometry,False,Error Parsing Response,False,,Level 5: Geometry,False,Error Parsing Response,False,Error Parsing Response,False,True,False,False,False,False
1668,1668,Level 3,Geometry,False,-\frac{\sqrt{2}}{2},False,\frac{1,Level 3: Geometry,False,Error Parsing Response,False,Error Parsing Response,False,True,False,False,False,False
1669,1669,Level 5,Geometry,False,1,False,1,Level 5: Geometry,False,Error Parsing Response,False,,False,True,False,False,False,False
1670,1670,Level 2,Geometry,False,45,False,24,Level 2: Geometry,False,Error Parsing Response,False,Error Parsing Response,False,True,False,False,False,False
1671,1671,Level 5,Geometry,False,Error Parsing Response,False,,Level 5: Geometry,False,Error Parsing Response,False,Error Parsing Response,False,True,False,False,False,False
1672,1672,Level 4,Geometry,False,Error Parsing Response,False,,Level 4: Geometry,False,Error Parsing Response,False,15,False,True,False,False,False,False
1674,1674,Level 4,Geometry,False,8,False,,Level 4: Geometry,False,Error Parsing Response,False,Error Parsing Response,False,True,False,False,False,False
1676,1676,Level 5,Geometry,False,Error Parsing Response,False,,Level 5: Geometry,False,50\%,False,Error Parsing Response,False,True,False,False,False,False
1677,1677,Level 5,Geometry,False,Error Parsing Response,False,,Level 5: Geometry,False,Error Parsing Response,False,Error Parsing Response,False,True,False,False,False,False
1678,1678,Level 4,Geometry,False,Error Parsing Response,False,30,Level 4: Geometry,False,Error Parsing Response,False,Error Parsing Response,False,True,False,False,False,False
1679,1679,Level 2,Geometry,False,0^\circ,False,,Level 2: Geometry,False,Error Parsing Response,False,Error Parsing Response,False,True,False,False,False,False
1680,1680,Level 3,Geometry,False,4.2,False,,Level 3: Geometry,False,Error Parsing Response,False,Error Parsing Response,False,True,False,False,False,False
1681,1681,Level 5,Geometry,False,-245,False,,Level 5: Geometry,False,Error Parsing Response,False,Error Parsing Response,False,True,False,False,False,False
1682,1682,Level 4,Geometry,False,15,False,7,Level 4: Geometry,False,5,False,Error Parsing Response,False,True,False,False,False,False
1683,1683,Level 4,Geometry,False,Error Parsing Response,False,625,Level 4: Geometry,False,1250,False,Error Parsing Response,False,True,False,False,False,False
1685,1685,Level 5,Geometry,False,8,False,1,Level 5: Geometry,False,8,False,Error Parsing Response,False,True,False,False,False,False
1686,1686,Level 4,Geometry,False,2\pi + 2,False,16\pi,Level 4: Geometry,False,Error Parsing Response,False,Error Parsing Response,False,True,False,False,False,False
1687,1687,Level 5,Geometry,False,\frac{35}{2},False,,Level 5: Geometry,False,Error Parsing Response,False,Error Parsing Response,False,True,False,False,False,False
1688,1688,Level 4,Geometry,False,1296,False,,Level 4: Geometry,False,216\sqrt{2},False,Error Parsing Response,False,True,False,False,False,False
1689,1689,Level 5,Geometry,False,7,False,7,Level 5: Geometry,False,Error Parsing Response,False,Error Parsing Response,False,True,False,False,False,False
1691,1691,Level 4,Geometry,False,156\pi,False,108\pi,Level 4: Geometry,False,Error Parsing Response,False,180\pi,False,True,False,False,False,False
1692,1692,Level 4,Geometry,False,27\sqrt{3},False,36,Level 4: Geometry,False,Error Parsing Response,False,27,False,True,False,False,False,False
1693,1693,Level 4,Geometry,False,13.14,False,32+4\pi,Level 4: Geometry,False,Error Parsing Response,False,Error Parsing Response,False,True,False,False,False,False
1694,1694,Level 4,Geometry,False,Error Parsing Response,False,,Level 4: Geometry,False,37.92,False,Error Parsing Response,False,True,False,False,False,False
1695,1695,Level 4,Geometry,False,Error Parsing Response,False,10,Level 4: Geometry,False,Error Parsing Response,False,0,False,True,False,False,False,False
1696,1696,Level 4,Geometry,False,60,False,,Level 4: Geometry,False,Error Parsing Response,False,Error Parsing Response,False,True,False,False,False,False
1698,1698,Level 5,Geometry,False,Error Parsing Response,False,25,Level 5: Geometry,False,64,False,Error Parsing Response,False,True,False,False,False,False
1699,1699,Level 4,Geometry,False,Error Parsing Response,False,,Level 4: Geometry,False,Error Parsing Response,False,Error Parsing Response,False,True,False,False,False,False
1701,1701,Level 4,Geometry,False,\frac{\sqrt{2}}{2},False,\frac{1,Level 4: Geometry,False,\frac{\sqrt{2 - \sqrt{3}}}{2},False,Error Parsing Response,False,True,False,False,False,False
1702,1702,Level 5,Geometry,False,5,False,,Level 5: Geometry,False,Error Parsing Response,False,81,False,True,False,False,False,False
1703,1703,Level 4,Geometry,False,\frac{40}{x^2},False,,Level 4: Geometry,False,Error Parsing Response,False,3,False,True,False,False,False,False
1704,1704,Level 2,Geometry,False,Error Parsing Response,False,,Level 2: Geometry,False,Error Parsing Response,False,1,False,True,False,False,False,False
1707,1707,Level 4,Geometry,False,Error Parsing Response,False,,Level 4: Geometry,False,Error Parsing Response,False,\frac{\sqrt{2}}{2},False,True,False,False,False,False
1708,1708,Level 5,Geometry,False,\frac{1}{\sqrt{2}},False,,Level 5: Geometry,False,Error Parsing Response,False,Error Parsing Response,False,True,False,False,False,False
1709,1709,Level 2,Geometry,False,75\%,False,50,Level 2: Geometry,False,Error Parsing Response,False,\frac{1}{4}\cdot8=\frac{1}{2},False,True,False,False,False,False
1710,1710,Level 4,Geometry,False,4,False,,Level 4: Geometry,False,56,False,Error Parsing Response,False,True,False,False,False,False
1711,1711,Level 4,Geometry,False,-\frac{1}{3},False,\frac{1,Level 4: Geometry,False,-\frac{1}{\sqrt{3}},False,Error Parsing Response,False,True,False,False,False,False
1714,1714,Level 5,Geometry,False,Error Parsing Response,False,,Level 5: Geometry,False,\frac{\pi-1}{2},False,Error Parsing Response,False,True,False,False,False,False
1716,1716,Level 4,Geometry,False,252^\circ,False,90^\circ,Level 4: Geometry,False,Error Parsing Response,False,Error Parsing Response,False,True,False,False,False,False
1717,1717,Level 5,Geometry,False,16\pi - 4,False,,Level 5: Geometry,False,Error Parsing Response,False,Error Parsing Response,False,True,False,False,False,False
1718,1718,Level 3,Geometry,False,2,False,\frac{x+30,Level 3: Geometry,False,Error Parsing Response,False,\frac{1}{1},False,True,False,False,False,False
1719,1719,Level 3,Geometry,False,150^\circ,False,,Level 3: Geometry,False,Error Parsing Response,False,60^\circ,False,True,False,False,False,False
1720,1720,Level 3,Geometry,False,4.4,False,35,Level 3: Geometry,False,Error Parsing Response,False,Error Parsing Response,False,True,False,False,False,False
1721,1721,Level 5,Geometry,False,-\frac{i}{\sqrt{3}},False,,Level 5: Geometry,False,Error Parsing Response,False,Error Parsing Response,False,True,False,False,False,False
1722,1722,Level 3,Geometry,False,4\sqrt{2},False,4\sqrt{2,Level 3: Geometry,False,Error Parsing Response,False,Error Parsing Response,False,True,False,False,False,False
1723,1723,Level 3,Geometry,False,1,False,,Level 3: Geometry,False,0.25,False,Error Parsing Response,False,True,False,False,False,False
1724,1724,Level 5,Geometry,False,3\pi,False,\frac{\pi,Level 5: Geometry,False,Error Parsing Response,False,\frac{3}{2}\pi,False,True,False,False,False,False
1725,1725,Level 4,Geometry,False,0,False,\frac{1,Level 4: Geometry,False,Error Parsing Response,False,\frac{\n\sqrt{2}}{2},False,True,False,False,False,False
1726,1726,Level 5,Geometry,False,\frac{1}{2},False,,Level 5: Geometry,False,25,False,Error Parsing Response,False,True,False,False,False,False
1727,1727,Level 5,Geometry,False,90^\circ,False,,Level 5: Geometry,False,\frac{\sqrt{3}}{2},False,Error Parsing Response,False,True,False,False,False,False
1728,1728,Level 5,Geometry,False,1,False,,Level 5: Geometry,False,Error Parsing Response,False,Error Parsing Response,False,True,False,False,False,False
1729,1729,Level 5,Geometry,False,35^\circ,False,,Level 5: Geometry,False,Error Parsing Response,False,Error Parsing Response,False,True,False,False,False,False
1730,1730,Level 5,Geometry,False,Error Parsing Response,False,60,Level 5: Geometry,False,48,False,Error Parsing Response,False,True,False,False,False,False
1732,1732,Level 5,Geometry,False,64,False,,Level 5: Geometry,False,8.00,False,Error Parsing Response,False,True,False,False,False,False
1733,1733,Level 5,Geometry,False,60,False,60,Level 5: Geometry,False,Error Parsing Response,False,150,False,True,False,False,False,False
1735,1735,Level 4,Geometry,False,\frac{27\pi}{2},False,,Level 4: Geometry,False,Error Parsing Response,False,Error Parsing Response,False,True,False,False,False,False
1736,1736,Level 5,Geometry,False,Error Parsing Response,False,,Level 5: Geometry,False,Error Parsing Response,False,\frac{135}{2},False,True,False,False,False,False
1738,1738,Level 4,Geometry,False,180^\circ,False,,Level 4: Geometry,False,Error Parsing Response,False,Error Parsing Response,False,True,False,False,False,False
1740,1740,Level 4,Geometry,False,\sqrt{97},False,,Level 4: Geometry,False,Error Parsing Response,False,Error Parsing Response,False,True,False,False,False,False
1741,1741,Level 1,Geometry,False,Error Parsing Response,False,45^\circ,Level 1: Geometry,False,90^\circ,False,180^{\n\circ},False,True,False,False,False,False
1744,1744,Level 5,Geometry,False,\frac{4 \sqrt{3}}{3},False,,Level 5: Geometry,False,\frac{13\sqrt{3}}{3},False,Error Parsing Response,False,True,False,False,False,False
1745,1745,Level 4,Geometry,False,36\pi,False,9\pi,Level 4: Geometry,False,Error Parsing Response,False,Error Parsing Response,False,True,False,False,False,False
1746,1746,Level 4,Geometry,False,\frac{1}{9},False,\frac{1,Level 4: Geometry,False,Error Parsing Response,False,\frac{1}{4\sqrt{3}},False,True,False,False,False,False
1747,1747,Level 3,Geometry,False,Error Parsing Response,False,12,Level 3: Geometry,False,Error Parsing Response,False,\frac{1}{2},False,True,False,False,False,False
1750,1750,Level 4,Geometry,False,16,False,,Level 4: Geometry,False,Error Parsing Response,False,,False,True,False,False,False,False
1753,1753,Level 1,Geometry,False,36,False,36,Level 1: Geometry,False,Error Parsing Response,False,Error Parsing Response,False,True,False,False,False,False
1755,1755,Level 5,Geometry,False,Error Parsing Response,False,,Level 5: Geometry,False,Error Parsing Response,False,Error Parsing Response,False,True,False,False,False,False
1760,1760,Level 2,Geometry,False,Error Parsing Response,False,"(9,3)",Level 2: Geometry,False,"(9,3)",False,Error Parsing Response,False,True,False,False,False,False
1764,1764,Level 5,Geometry,False,\frac{57}{4},False,,Level 5: Geometry,False,Error Parsing Response,False,Error Parsing Response,False,True,False,False,False,False
1765,1765,Level 3,Geometry,False,"22,500-4500\pi",False,8666.67\pi,Level 3: Geometry,False,Error Parsing Response,False,26600-400\pi,False,True,False,False,False,False
1768,1768,Level 5,Geometry,False,Error Parsing Response,False,,Level 5: Geometry,False,Error Parsing Response,False,Error Parsing Response,False,True,False,False,False,False
1769,1769,Level 5,Geometry,False,5^\circ,False,,Level 5: Geometry,False,Error Parsing Response,False,180^\circ,False,True,False,False,False,False
1770,1770,Level 3,Geometry,False,\frac{4+\sqrt{3}}{4},False,,Level 3: Geometry,False,Error Parsing Response,False,,False,True,False,False,False,False
1771,1771,Level 2,Geometry,False,-k,False,0,Level 2: Geometry,False,0,False,Error Parsing Response,False,True,False,False,False,False
1772,1772,Level 4,Geometry,False,3,False,,Level 4: Geometry,False,Error Parsing Response,False,Error Parsing Response,False,True,False,False,False,False
1773,1773,Level 3,Geometry,False,14,False,14,Level 3: Geometry,False,Error Parsing Response,False,Error Parsing Response,False,True,False,False,False,False
1774,1774,Level 5,Geometry,False,Error Parsing Response,False,,Level 5: Geometry,False,Error Parsing Response,False,Error Parsing Response,False,True,False,False,False,False
1780,1780,Level 5,Geometry,False,105,False,,Level 5: Geometry,False,35\sqrt{3},False,Error Parsing Response,False,True,False,False,False,False
1781,1781,Level 3,Geometry,False,675\pi + \frac{225}{2}\pi,False,450\pi,Level 3: Geometry,False,Error Parsing Response,False,1300\pi,False,True,False,False,False,False
1782,1782,Level 2,Geometry,False,32,False,,Level 2: Geometry,False,Error Parsing Response,False,16,False,True,False,False,False,False
1783,1783,Level 5,Geometry,False,Error Parsing Response,False,,Level 5: Geometry,False,Error Parsing Response,False,Error Parsing Response,False,True,False,False,False,False
1786,1786,Level 5,Geometry,False,4000\sqrt{2},False,,Level 5: Geometry,False,2000(3 - 2\sqrt{2}),False,Error Parsing Response,False,True,False,False,False,False
1787,1787,Level 2,Geometry,False,8,False,6,Level 2: Geometry,False,Error Parsing Response,False,Error Parsing Response,False,True,False,False,False,False
1788,1788,Level 3,Geometry,False,17,False,,Level 3: Geometry,False,4\sqrt{21},False,Error Parsing Response,False,True,False,False,False,False
1790,1790,Level 1,Geometry,False,180,False,,Level 1: Geometry,False,Error Parsing Response,False,180,False,True,False,False,False,False
1791,1791,Level 5,Geometry,False,38,False,,Level 5: Geometry,False,Error Parsing Response,False,,False,True,False,False,False,False
1792,1792,Level 2,Geometry,False,6\frac{3}{4},False,3\frac{3,Level 2: Geometry,False,6\frac{3}{4},False,Error Parsing Response,False,True,False,False,False,False
1793,1793,Level 5,Geometry,False,16,False,,Level 5: Geometry,False,Error Parsing Response,False,Error Parsing Response,False,True,False,False,False,False
1795,1795,Level 4,Geometry,False,289,False,,Level 4: Geometry,False,Error Parsing Response,False,16,False,True,False,False,False,False
1796,1796,Level 3,Geometry,False,48,False,(c-a)^2,Level 3: Geometry,False,Error Parsing Response,False,2ac,False,True,False,False,False,False
1798,1798,Level 4,Geometry,False,\sqrt{3},False,\pi,Level 4: Geometry,False,Error Parsing Response,False,2,False,True,False,False,False,False
1799,1799,Level 3,Geometry,False,\frac{1}{2},False,\frac{1,Level 3: Geometry,False,Error Parsing Response,False,\frac{3}{4},False,True,False,False,False,False
1800,1800,Level 4,Geometry,False,1,False,,Level 4: Geometry,False,Error Parsing Response,False,\frac{5}{5},False,True,False,False,False,False
1802,1802,Level 4,Geometry,False,63 - \pi,False,64 - 16\pi,Level 4: Geometry,False,Error Parsing Response,False,3,False,True,False,False,False,False
1803,1803,Level 2,Geometry,False,\frac{4}{5},False,\frac{4,Level 2: Geometry,False,Error Parsing Response,False,Error Parsing Response,False,True,False,False,False,False
1804,1804,Level 5,Geometry,False,36,False,,Level 5: Geometry,False,Error Parsing Response,False,,False,True,False,False,False,False
1805,1805,Level 3,Geometry,False,4,False,,Level 3: Geometry,False,Error Parsing Response,False,Error Parsing Response,False,True,False,False,False,False
1807,1807,Level 2,Geometry,False,50^\circ,False,140^\circ,Level 2: Geometry,False,140^\circ,False,Error Parsing Response,False,True,False,False,False,False
1809,1809,Level 3,Geometry,False,12,False,12,Level 3: Geometry,False,Error Parsing Response,False,Error Parsing Response,False,True,False,False,False,False
1810,1810,Level 4,Geometry,False,13,False,15,Level 4: Geometry,False,Error Parsing Response,False,Error Parsing Response,False,True,False,False,False,False
1813,1813,Level 2,Geometry,False,2,False,,Level 2: Geometry,False,108^\circ,False,Error Parsing Response,False,True,False,False,False,False
1814,1814,Level 4,Geometry,False,432\text{ cm}^3,False,720,Level 4: Geometry,False,288\sqrt{33},False,Error Parsing Response,False,True,False,False,False,False
1816,1816,Level 2,Geometry,False,0,False,1,Level 2: Geometry,False,Error Parsing Response,False,Error Parsing Response,False,True,False,False,False,False
1817,1817,Level 1,Geometry,False,142^\circ,False,64^\circ,Level 1: Geometry,False,Error Parsing Response,False,Error Parsing Response,False,True,False,False,False,False
1818,1818,Level 3,Geometry,False,8\sqrt{2},False,512,Level 3: Geometry,False,Error Parsing Response,False,\n\frac{4}{3},False,True,False,False,False,False
1819,1819,Level 4,Geometry,False,6,False,,Level 4: Geometry,False,18,False,Error Parsing Response,False,True,False,False,False,False
1820,1820,Level 4,Geometry,False,\frac{3}{8}xy,False,,Level 4: Geometry,False,Error Parsing Response,False,38,False,True,False,False,False,False
1821,1821,Level 2,Geometry,False,40^\circ,False,,Level 2: Geometry,False,36^\circ,False,Error Parsing Response,False,True,False,False,False,False
1823,1823,Level 1,Geometry,False,6,False,6,Level 1: Geometry,False,Error Parsing Response,False,Error Parsing Response,False,True,False,False,False,False
1824,1824,Level 5,Geometry,False,(x+1)^2 + y^2 = 9,False,,Level 5: Geometry,False,Error Parsing Response,False,x^2-4x+y^2+2y+1 = 9,False,True,False,False,False,False
1825,1825,Level 2,Geometry,False,1.44,False,1.8,Level 2: Geometry,False,Error Parsing Response,False,Error Parsing Response,False,True,False,False,False,False
1826,1826,Level 4,Geometry,False,2x,False,110^\circ,Level 4: Geometry,False,80^\circ,False,Error Parsing Response,False,True,False,False,False,False
1827,1827,Level 5,Geometry,False,\frac{1}{2},False,\frac{1,Level 5: Geometry,False,Error Parsing Response,False,Error Parsing Response,False,True,False,False,False,False
1828,1828,Level 1,Geometry,False,Error Parsing Response,False,,Level 1: Geometry,False,Error Parsing Response,False,Error Parsing Response,False,True,False,False,False,False
1829,1829,Level 2,Geometry,False,45^\circ,False,,Level 2: Geometry,False,0^\circ,False,Error Parsing Response,False,True,False,False,False,False
1830,1830,Level 5,Geometry,False,Error Parsing Response,False,,Level 5: Geometry,False,72,False,Error Parsing Response,False,True,False,False,False,False
1831,1831,Level 5,Geometry,False,6+4\sqrt{3},False,7,Level 5: Geometry,False,Error Parsing Response,False,Error Parsing Response,False,True,False,False,False,False
1832,1832,Level 5,Geometry,False,Error Parsing Response,False,,Level 5: Geometry,False,126,False,Error Parsing Response,False,True,False,False,False,False
1833,1833,Level 4,Geometry,False,Error Parsing Response,False,24\sqrt{3,Level 4: Geometry,False,Error Parsing Response,False,,False,True,False,False,False,False
1834,1834,Level 5,Geometry,False,Error Parsing Response,False,,Level 5: Geometry,False,Error Parsing Response,False,Error Parsing Response,False,True,False,False,False,False
1835,1835,Level 4,Geometry,False,39,False,,Level 4: Geometry,False,Error Parsing Response,False,Error Parsing Response,False,True,False,False,False,False
1837,1837,Level 5,Geometry,False,2 + \sqrt{10},False,2,Level 5: Geometry,False,Error Parsing Response,False,2\sqrt{2},False,True,False,False,False,False
1838,1838,Level 2,Geometry,False,60\pi,False,,Level 2: Geometry,False,Error Parsing Response,False,Error Parsing Response,False,True,False,False,False,False
1839,1839,Level 2,Geometry,False,Error Parsing Response,False,,Level 2: Geometry,False,Error Parsing Response,False,Error Parsing Response,False,True,False,False,False,False
1841,1841,Level 1,Geometry,False,100^\circ,False,100^\circ,Level 1: Geometry,False,Error Parsing Response,False,Error Parsing Response,False,True,False,False,False,False
1843,1843,Level 4,Geometry,False,2\sqrt{5},False,,Level 4: Geometry,False,Error Parsing Response,False,Error Parsing Response,False,True,False,False,False,False
1844,1844,Level 5,Geometry,False,4,False,,Level 5: Geometry,False,"\left( \frac{7}{2}, \frac{3}{2} \right)",False,Error Parsing Response,False,True,False,False,False,False
1848,1848,Level 3,Geometry,False,Error Parsing Response,False,,Level 3: Geometry,False,Error Parsing Response,False,12+4\sqrt{3},False,True,False,False,False,False
1850,1850,Level 3,Geometry,False,Error Parsing Response,False,70,Level 3: Geometry,False,65^\circ,False,Error Parsing Response,False,True,False,False,False,False
1851,1851,Level 3,Geometry,False,2,False,,Level 3: Geometry,False,Error Parsing Response,False,Error Parsing Response,False,True,False,False,False,False
1856,1856,Level 4,Geometry,False,5,False,,Level 4: Geometry,False,15,False,Error Parsing Response,False,True,False,False,False,False
1857,1857,Level 5,Geometry,False,Error Parsing Response,False,,Level 5: Geometry,False,Error Parsing Response,False,Error Parsing Response,False,True,False,False,False,False
1859,1859,Level 3,Geometry,False,5,False,,Level 3: Geometry,False,5,False,Error Parsing Response,False,True,False,False,False,False
1860,1860,Level 5,Geometry,False,Error Parsing Response,False,,Level 5: Geometry,False,Error Parsing Response,False,Error Parsing Response,False,True,False,False,False,False
1861,1861,Level 4,Geometry,False,Error Parsing Response,False,,Level 4: Geometry,False,Error Parsing Response,False,Error Parsing Response,False,True,False,False,False,False
1862,1862,Level 3,Geometry,False,-12\frac{1}{2},False,,Level 3: Geometry,False,Error Parsing Response,False,Error Parsing Response,False,True,False,False,False,False
1863,1863,Level 2,Geometry,False,90,False,,Level 2: Geometry,False,Error Parsing Response,False,Error Parsing Response,False,True,False,False,False,False
1864,1864,Level 5,Geometry,False,Error Parsing Response,False,,Level 5: Geometry,False,Error Parsing Response,False,Error Parsing Response,False,True,False,False,False,False
1865,1865,Level 5,Geometry,False,\frac{96}{125},False,\frac{192,Level 5: Geometry,False,Error Parsing Response,False,\frac{100}{125},False,True,False,False,False,False
1866,1866,Level 4,Geometry,False,\boxed{3},False,,Level 4: Geometry,False,Error Parsing Response,False,Error Parsing Response,False,True,False,False,False,False
1867,1867,Level 1,Geometry,False,Error Parsing Response,False,,Level 1: Geometry,False,Error Parsing Response,False,Error Parsing Response,False,True,False,False,False,False
1868,1868,Level 3,Geometry,False,Error Parsing Response,False,\frac{1,Level 3: Geometry,False,Error Parsing Response,False,Error Parsing Response,False,True,False,False,False,False
1869,1869,Level 4,Geometry,False,Error Parsing Response,False,,Level 4: Geometry,False,Error Parsing Response,False,Error Parsing Response,False,True,False,False,False,False
1870,1870,Level 5,Geometry,False,Error Parsing Response,False,,Level 5: Geometry,False,Error Parsing Response,False,Error Parsing Response,False,True,False,False,False,False
1871,1871,Level 3,Geometry,False,\frac{45}{4},False,7.5,Level 3: Geometry,False,Error Parsing Response,False,Error Parsing Response,False,True,False,False,False,False
1872,1872,Level 4,Geometry,False,960 \pi,False,12\pi,Level 4: Geometry,False,320\pi,False,Error Parsing Response,False,True,False,False,False,False
